"Time period","Coal","Nuclear","CCGT","Hydro","Geothermal","Diesel"
"t294",0.00,11170.00,4746.00,703.20,0.00,0.00
"t295",0.00,11170.00,6156.00,703.20,0.00,0.00
"t296",0.00,11170.00,7612.00,703.20,0.00,0.00
"t297",0.00,11170.00,9056.00,703.20,0.00,0.00
"t298",0.00,11170.00,9716.20,703.20,0.00,0.00
"t299",0.00,11170.00,9736.40,703.20,0.00,0.00
"t300",0.00,11170.00,9562.80,703.20,0.00,0.00
"t301",0.00,11170.00,9025.60,703.20,0.00,0.00
"t302",0.00,11170.00,7180.80,703.20,0.00,0.00
"t303",0.00,11170.00,4096.10,703.20,0.00,0.00
"t304",0.00,11170.00,2400.60,703.20,0.00,0.00
"t305",0.00,11170.00,1258.30,703.20,0.00,0.00
"t306",0.00,11170.00,3070.10,703.20,0.00,0.00
"t307",0.00,11170.00,5605.20,703.20,0.00,0.00
"t308",0.00,11170.00,7194.10,703.20,0.00,0.00
"t309",0.00,11170.00,9611.60,703.20,0.00,0.00
"t310",0.00,11170.00,11840.70,703.20,0.00,0.00
"t311",0.00,11170.00,11823.80,703.20,0.00,0.00
"t312",0.00,11170.00,11209.00,703.20,0.00,0.00
"t313",0.00,11170.00,11136.80,703.20,0.00,0.00
"t314",0.00,11170.00,11077.40,703.20,0.00,0.00
"t315",0.00,11170.00,11328.20,703.20,0.00,0.00
"t316",0.00,11170.00,12169.80,703.20,0.00,0.00
"t317",0.00,11170.00,13791.00,703.20,0.00,0.00
"t318",0.00,11170.00,14772.20,703.20,0.00,0.00
"t319",0.00,11170.00,16016.00,703.20,0.00,0.00
"t320",0.00,11170.00,17683.20,703.20,0.00,0.00
"t321",0.00,11170.00,18789.40,703.20,0.00,0.00
"t322",0.00,11170.00,17616.80,703.20,0.00,0.00
"t323",0.00,11170.00,16189.40,703.20,0.00,0.00
"t324",0.00,11170.00,14586.20,703.20,0.00,0.00
"t325",0.00,11170.00,12913.80,703.20,0.00,0.00
"t326",0.00,11170.00,12114.50,703.20,0.00,0.00
"t327",0.00,11170.00,11647.10,703.20,0.00,0.00
"t328",0.00,11170.00,10500.50,703.20,0.00,0.00
"t329",0.00,11170.00,9107.20,703.20,0.00,0.00
"t330",0.00,11170.00,8935.60,703.20,0.00,0.00
"t331",0.00,11170.00,10113.00,703.20,0.00,0.00
"t332",0.00,11170.00,11341.20,703.20,0.00,0.00
"t333",0.00,11170.00,13191.70,703.20,0.00,0.00
"t334",0.00,11170.00,15894.90,703.20,0.00,0.00
"t335",0.00,11170.00,17774.30,703.20,0.00,0.00
"t336",0.00,11170.00,17466.20,703.20,0.00,0.00
"t337",0.00,11170.00,17358.80,703.20,0.00,0.00
"t338",0.00,11170.00,17184.00,703.20,0.00,0.00
"t339",0.00,11170.00,17251.60,703.20,0.00,0.00
"t340",0.00,11170.00,17763.40,703.20,0.00,0.00
"t341",0.00,11170.00,18697.60,703.20,0.00,0.00
"t342",269.20,11170.00,19800.00,703.20,0.00,0.00
"t343",2174.80,11170.00,19800.00,703.20,0.00,0.00
"t344",3455.80,11170.00,19800.00,703.20,0.00,0.00
"t345",3709.80,11170.00,19800.00,703.20,0.00,0.00
"t346",2527.60,11170.00,19800.00,703.20,0.00,0.00
"t347",826.40,11170.00,19800.00,703.20,0.00,0.00
"t348",0.00,11170.00,18540.60,703.20,0.00,0.00
"t349",0.00,11170.00,16497.00,703.20,0.00,0.00
"t350",0.00,11170.00,13469.10,703.20,0.00,0.00
"t351",0.00,11170.00,10030.50,703.20,0.00,0.00
"t352",0.00,11170.00,7422.90,703.20,0.00,0.00
"t353",0.00,11170.00,6962.40,703.20,0.00,0.00
"t354",0.00,11170.00,8493.00,703.20,0.00,0.00
"t355",0.00,11170.00,10993.70,703.20,0.00,0.00
"t356",0.00,11170.00,12611.00,703.20,0.00,0.00
"t357",0.00,11170.00,14478.40,703.20,0.00,0.00
"t358",0.00,11170.00,16234.70,703.20,0.00,0.00
"t359",0.00,11170.00,16728.10,703.20,0.00,0.00
"t360",0.00,11170.00,15389.40,703.20,0.00,0.00
"t361",0.00,11170.00,14526.20,703.20,0.00,0.00
"t362",0.00,11170.00,14318.80,703.20,0.00,0.00
"t363",0.00,11170.00,14316.60,703.20,0.00,0.00
"t364",0.00,11170.00,14808.60,703.20,0.00,0.00
"t365",0.00,11170.00,15940.00,703.20,0.00,0.00
"t366",0.00,11170.00,17863.00,703.20,0.00,0.00
"t367",1495.00,11170.00,19800.00,703.20,0.00,0.00
"t368",2814.20,11170.00,19800.00,703.20,0.00,0.00
"t369",1602.20,11170.00,19800.00,703.20,0.00,0.00
"t370",0.00,11170.00,18298.60,703.20,0.00,0.00
"t371",0.00,11170.00,15296.20,703.20,0.00,0.00
"t372",0.00,11170.00,13007.00,703.20,0.00,0.00
"t373",0.00,11170.00,11143.30,703.20,0.00,0.00
"t374",0.00,11170.00,7881.90,703.20,0.00,0.00
"t375",0.00,11170.00,5135.30,703.20,0.00,0.00
"t376",0.00,11170.00,4545.90,703.20,0.00,0.00
"t377",0.00,11170.00,4788.20,703.20,0.00,0.00
"t378",0.00,11170.00,6314.40,703.20,0.00,0.00
"t379",0.00,11170.00,8311.60,703.20,0.00,0.00
"t380",0.00,11170.00,9504.10,703.20,0.00,0.00
"t381",0.00,11170.00,10884.10,703.20,0.00,0.00
"t382",0.00,11170.00,12675.70,703.20,0.00,0.00
"t383",0.00,11170.00,14081.80,703.20,0.00,0.00
"t384",0.00,11170.00,13109.80,703.20,0.00,0.00
"t385",0.00,11170.00,11959.20,703.20,0.00,0.00
"t386",0.00,11170.00,10738.00,703.20,0.00,0.00
"t387",0.00,11170.00,9681.60,703.20,0.00,0.00
"t388",0.00,11170.00,9379.00,703.20,0.00,0.00
"t389",0.00,11170.00,10155.40,703.20,0.00,0.00
"t390",0.00,11170.00,11720.40,703.20,0.00,0.00
"t391",0.00,11170.00,13896.60,703.20,0.00,0.00
